Name,Location,Cuisine,Type,Status
Feng Cha,Milpitas,Taiwanese,Boba,Visited
Yoshi Sushi,Milpitas,Japanese,Restaurant,Visited
Phở Mai #1 Noodle House,Milpitas,Vietnamese,Restaurant,Not Visited
New Phở Saigon,Milpitas,Vietnamese,Restaurant,Not Visited
Sunright Tea Studio,Milpitas | Sunnyvale,Taiwanese,Boba,Visited
Chick & Tea,Milpitas,Taiwanese,Restaurant,Visited
Xing Fu Tang,Milpitas,Taiwanese,Boba,Visited
K OnTheGo,Milpitas,Taiwanese,Boba | Cafe/Bakery,Visited
Smoove,Milpitas,Taiwanese,Boba | Ice Cream,Visited
Mikayla's Cafe,Milpitas,American,Restaurant,Visited
IBU Taproom & Bottle Shop,Milpitas,General,Bar/Brewery,Visited
Poki Run,Milpitas,Japanese,Restaurant,Not Visited
Layang Layang,Milpitas,Malaysian,Restaurant,Visited
Slice House,Milpitas,Italian,Restaurant,Not Visited
Bun Appétit (Thu - Sun only),Fremont,Chinese,Cafe/Bakery,Visited
A Sack of Potatoes,Fremont,Chinese,Restaurant,Visited
Suju's Coffee,Fremont,General,Cafe/Bakery,Visited
KoJa Kitchen,Fremont,Korean,Restaurant,Not Visited
SOJO Ramen,Fremont,Japanese,Restaurant,Not Visited
Posh Bagels,Fremont,General,Cafe/Bakery,Not Visited
The Breeze Cafe,Fremont,General,Restaurant,Visited
Rita's Italian Ice and Frozen Custard,Fremont,General,Ice Cream,Visited
Milkcow Soft Serve,Fremont,Japanese,Ice Cream,Visited
Cauldron Ice Cream,Fremont | San Jose,General,Ice Cream,Visited
SOHO Modern Japanese ($$$),Fremont,Japanese,Restaurant,Not Visited
Halal Guys,Fremont | San Jose,Arabian,Restaurant,Visited
Mr. Sun Tea,Fremont,Taiwanese,Boba,Not Visited
Pints of Joy,Fremont | Sunnyvale,Indian,Ice Cream,Visited
Wadaya,Fremont,Japanese,Restaurant,Not Visited
Mochicream / J. Sweets,San Jose,Japanese,Store,Visited
House of Bagels,San Jose,General,Cafe/Bakery,Visited
Pressed Juicery,San Jose,General,Store,Visited
Ike's Love and Sandwiches,San Jose,General,Restaurant,Visited
